id,group_id,crop_id,phase,crop,max_theoretical_N,MAS_N,reference_yield,yield_unit,product,dry_or_irrigated,reference_yield_t_ha,dry_matter_pct,standard_yield,standard_N,max_increment,max_N_dose,note,crop_en
1.0,1.0,A2,nd,"Actinidia polpa verde frutti, legno e foglie",340.0,150.0,25.0,tq,,no,25.0,,25.0,120.0,40.0,160.0,RR n. 2/2024,"Kiwifruit (green flesh) - fruit, wood and leaves"
2.0,2.0,Ab2,nd,"Actinidia polpa gialla frutti, legno e foglie",340.0,150.0,25.0,tq,,no,25.0,,30.0,150.0,40.0,190.0,RR n. 2/2024,"Kiwifruit (yellow flesh) - fruit, wood and leaves"
3.0,3.0,A4,nd,"Albicocco media produzione frutti, legno e foglie",340.0,135.0,13.0,tq,,no,13.0,,13.0,75.0,50.0,125.0,RR n. 2/2024,"Apricot (medium yield) - fruit, wood and leaves"
4.0,4.0,A5,nd,"Albicocco  alta produzione frutti, legno e foglie",340.0,135.0,13.0,tq,,no,13.0,,18.0,100.0,50.0,150.0,RR n. 2/2024,"Apricot (high yield) - fruit, wood and leaves"
5.0,5.0,A6,nd,"Altri fruttiferi frutti, legno e foglie",340.0,,,nd,nd,no,0.0,,,,0.0,,,"Other fruit trees - fruit, wood and leaves"
6.0,6.0,A8,nd,"Arancio frutti, legno e foglie",340.0,,,nd,nd,no,0.0,,30.0,120.0,50.0,170.0,RR n. 2/2024,"Orange - fruit, wood and leaves"
7.0,7.0,A10,nd,Castagno solo frutti,340.0,,,nd,nd,no,0.0,,,,0.0,,,Chestnut (fruit only)
8.0,8.0,A12,nd,"Ciliegio frutti, legno e foglie",340.0,120.0,9.0,tq,,no,9.0,,9.0,70.0,50.0,120.0,RR n. 2/2024,"Cherry - fruit, wood and leaves"
9.0,9.0,A14,nd,"Clementine frutti, legno e foglie",340.0,,,nd,nd,no,0.0,,25.0,140.0,50.0,190.0,RR n. 2/2024,"Clementine - fruit, wood and leaves"
10.0,10.0,A15,nd,"Cotogno (frutti, legno e foglie)",340.0,,60.0,tq,,no,60.0,,25.0,140.0,50.0,190.0,,"Quince (fruit, wood and leaves)"
11.0,11.0,A16,nd,"Fico frutti, legno e foglie",340.0,,,nd,nd,no,0.0,,,,0.0,,,"Fig - fruit, wood and leaves"
12.0,12.0,A17,nd,"Kaki frutti, legno e foglie",340.0,,,nd,nd,no,0.0,,25.0,60.0,40.0,100.0,RR n. 2/2024,"Persimmon - fruit, wood and leaves"
